molecule_chembl_id,canonical_smiles,standard_type,standard_value,pchembl_value,assay_chembl_id,assay_description,target_chembl_id,target_pref_name,target_organism,standard_units_norm,IC50_nM,pIC50
CHEMBL298393,Cc1cccc(C)c1CNC(=O)[C@H]1N(C(=O)[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)CSC1(C)C,IC50,0.03,10.52,CHEMBL940805,Inhibition of wild type HIV1 NL4-3 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,0.03,10.522878745280337
CHEMBL397403,Cc1cccc(C)c1CNC(=O)[C@H]1N(C(=O)[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)CCC1(C)C,IC50,0.14,9.85,CHEMBL940805,Inhibition of wild type HIV1 NL4-3 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,0.14,9.853871964321762
CHEMBL247616,Cc1nsc(C)c1CNC(=O)[C@H]1N(C(=O)[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)COC12CCCC2,IC50,0.1,10.0,CHEMBL940805,Inhibition of wild type HIV1 NL4-3 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,0.1,10.0
CHEMBL395207,Cc1noc(C)c1CNC(=O)[C@H]1N(C(=O)[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)COC12CCCC2,IC50,0.2,9.7,CHEMBL940805,Inhibition of wild type HIV1 NL4-3 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,0.2,9.698970004336019
CHEMBL395214,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccccc1)C[C@H](O)C(=O)N1COC2(CCCC2)[C@H]1C(=O)NCc1c(Cl)cccc1Cl,IC50,0.11,9.96,CHEMBL940805,Inhibition of wild type HIV1 NL4-3 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,0.11,9.958607314841775
CHEMBL398053,Cc1cccc(C)c1CNC(=O)[C@H]1N(C(=O)[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)COC12CCCC2,IC50,0.1,10.0,CHEMBL940805,Inhibition of wild type HIV1 NL4-3 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,0.1,10.0
CHEMBL247615,Cc1cccc(C)c1CNC(=O)[C@H]1N(C(=O)[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)COC1(C)C,IC50,0.17,9.77,CHEMBL940805,Inhibition of wild type HIV1 NL4-3 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,0.17,9.769551078621726
CHEMBL378104,COc1cc(O)cc(O)c1C(=O)/C=C/c1ccccc1,IC50,31.0,,CHEMBL923870,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,ug/mL,114694.17353598437,3.9404586436980535
CHEMBL315403,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21,IC50,1.8,8.74,CHEMBL925700,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,1.8,8.744727494896694
CHEMBL254349,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@@H]1C[C@@H]2CCO[C@@H]2C1)S(=O)(=O)c1ccc(CO)cc1,IC50,1.8,8.74,CHEMBL925700,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,1.8,8.744727494896694
CHEMBL301728,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)C(C)C)C(C)C,IC50,0.15,,CHEMBL971950,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,ug/mL,232.98328888529915,6.632675228352412
CHEMBL168,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,IC50,10.0,,CHEMBL971950,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,ug/mL,21895.684579526205,4.659641471825459
CHEMBL481824,CC(C)=CCC[C@H](C(=O)O)[C@@H]1CC[C@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)[C@H]3CC[C@@]12C,IC50,20.0,,CHEMBL971950,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,ug/mL,43985.52876103759,4.356690182899278
CHEMBL507319,Cc1c(O)cccc1C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN(CC(C)C)S(=O)(=O)c1ccc2ncsc2c1,IC50,10.0,,CHEMBL976264,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,10.0,8.0
CHEMBL443626,Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(cc(O)c(-c4c(O)cc5c(c4O)Oc4c(Oc6cc(O)cc(O)c6)c(O)cc(O)c4O5)c2O)O3)c1,IC50,81500.0,4.09,CHEMBL967168,Inhibition of HIV1 3B recombinant protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,81500.0,4.088842391260023
CHEMBL450380,O=C(O)CCCC#CC#C/C=C/CC/C=C/C#C/C=C/Br,IC50,6000.0,5.22,CHEMBL954608,Inhibition of HIV1 protease-mediated proteolysis of rabbit muscle lactate dehydrogenase by spectrophotometry,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,6000.0,5.221848749616356
CHEMBL478974,COC(=O)CCCC#CC#C/C=C/CCCCCC/C=C/Br,IC50,10000.0,5.0,CHEMBL954608,Inhibition of HIV1 protease-mediated proteolysis of rabbit muscle lactate dehydrogenase by spectrophotometry,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,10000.0,5.0
CHEMBL478973,O=C(O)CCCC#CC#C/C=C/CCCC/C=C/C#CBr,IC50,7000.0,5.16,CHEMBL954608,Inhibition of HIV1 protease-mediated proteolysis of rabbit muscle lactate dehydrogenase by spectrophotometry,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,7000.0,5.154901959985743
CHEMBL449762,O=C(O)CCCC#CC#C/C=C/CCCCCC/C=C/Br,IC50,12000.0,4.92,CHEMBL954608,Inhibition of HIV1 protease-mediated proteolysis of rabbit muscle lactate dehydrogenase by spectrophotometry,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,12000.0,4.920818753952375
CHEMBL476874,O=C(O)CCCC#CC#C/C=C/CCCCC#C/C=C/Br,IC50,8000.0,5.1,CHEMBL954608,Inhibition of HIV1 protease-mediated proteolysis of rabbit muscle lactate dehydrogenase by spectrophotometry,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,8000.0,5.096910013008056
CHEMBL476873,O=C(O)CCCC#C/C=C/CCCC/C=C/C#C/C=C/Br,IC50,10000.0,5.0,CHEMBL954608,Inhibition of HIV1 protease-mediated proteolysis of rabbit muscle lactate dehydrogenase by spectrophotometry,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,10000.0,5.0
CHEMBL477538,CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](Oc2cc3c(=O)oc4c(O)c(O)cc5c(=O)oc(c2O)c3c45)O[C@H]1C,IC50,11.0,,CHEMBL1015783,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,ug/mL,22431.90387725261,4.649133864700785
CHEMBL516559,C[C@@H]1O[C@@H](Oc2cc3c(=O)oc4c(O)c(O)cc5c(=O)oc(c2O)c3c45)[C@H](O)[C@H](O)[C@H]1O,IC50,4.8,,CHEMBL1015783,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,ug/mL,10706.256022269008,4.9703623753996995
CHEMBL474065,C/C(=C\CC[C@@H](C)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1C[C@@H]3O)C(=O)O,IC50,20000.0,4.7,CHEMBL1024134,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,20000.0,4.698970004336019
CHEMBL503829,Cc1ccccc1CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](COCc2ccccc2)NS(C)(=O)=O)CSC1(C)C,IC50,0.56,9.25,CHEMBL965471,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,0.56,9.2518119729938
CHEMBL509400,CC(=O)N[C@H](CS(=O)(=O)c1ccc2ccccc2c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)NCc1ccccc1C,IC50,0.086,10.07,CHEMBL965471,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,0.086,10.065501548756432
CHEMBL485911,Cc1ccccc1CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CS(=O)(=O)c2ccc3ccccc3c2)NS(C)(=O)=O)CSC1(C)C,IC50,0.09,10.05,CHEMBL965471,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,0.09,10.045757490560675
CHEMBL510136,CC(=O)N[C@H](CS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)NCc1ccccc1C,IC50,0.09,10.05,CHEMBL965471,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,0.09,10.045757490560675
CHEMBL452953,Cc1ccccc1CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CS(=O)(=O)c2cccc3ccccc23)NS(C)(=O)=O)CSC1(C)C,IC50,0.083,10.08,CHEMBL965471,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,0.083,10.080921907623926
CHEMBL508278,CC(=O)N[C@H](CS(=O)(=O)c1ccc(F)cc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)NCc1ccccc1C,IC50,0.27,9.57,CHEMBL965471,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,0.27,9.568636235841012
CHEMBL462726,CC(=O)N[C@H](CS(=O)(=O)c1ccc(Cl)cc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)NCc1ccccc1C,IC50,0.22,9.66,CHEMBL965471,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,0.22,9.657577319177793
CHEMBL452873,Cc1ccccc1CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CS(=O)(=O)c2ccc(Cl)cc2)NS(C)(=O)=O)CSC1(C)C,IC50,0.11,9.96,CHEMBL965471,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,0.11,9.958607314841775
CHEMBL230484,COc1ccc(CSC[C@@H](NC(C)=O)C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C(=O)N2CSC(C)(C)[C@H]2C(=O)NCc2ccccc2C)cc1,IC50,0.18,9.74,CHEMBL965471,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,0.18,9.744727494896694
CHEMBL455816,COc1ccc(CSC[C@@H](NS(C)(=O)=O)C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C(=O)N2CSC(C)(C)[C@H]2C(=O)NCc2ccccc2C)cc1,IC50,0.26,9.59,CHEMBL965471,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,0.26,9.585026652029182
CHEMBL449836,CC(=O)N[C@H](COCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)NCc1ccccc1C,IC50,0.39,9.41,CHEMBL965471,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,0.39,9.4089353929735
CHEMBL503571,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)n2cc(COC(=O)N[C@H]3c4ccccc4C[C@H]3O)nn2)cc1,IC50,6.0,8.22,CHEMBL1025565,Inhibition of wild type HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,6.0,8.221848749616356
CHEMBL489014,CC1(C)CCC[C@](C)([C@H]2CC[C@]3(C)[C@@H]2[C@H](O)C[C@@H]2[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@]23C)O1,IC50,39400.0,4.41,CHEMBL964238,Inhibition of HIV1 protease by HPLC method,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,39400.0,4.404503778174426
CHEMBL518910,CC1(C)CCC[C@](C)([C@H]2CC[C@]3(C)[C@@H]2[C@H](O)C[C@@H]2[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4C(=O)C[C@]23C)O1,IC50,42300.0,4.37,CHEMBL964238,Inhibition of HIV1 protease by HPLC method,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,42300.0,4.373659632624958
CHEMBL487707,CC1(C)CCC[C@](C)([C@H]2CC[C@]3(C)[C@@H]2C(=O)C[C@@H]2[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4C(=O)C[C@]23C)O1,IC50,24200.0,4.62,CHEMBL964238,Inhibition of HIV1 protease by HPLC method,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,24200.0,4.616184634019569
CHEMBL487911,CC1(C)CCC[C@](C)([C@H]2CC[C@]3(C)[C@@H]2[C@H](O)C[C@@H]2[C@@]4(C)C=C(O)C(=O)C(C)(C)[C@@H]4CC[C@]23C)O1,IC50,28500.0,4.54,CHEMBL964238,Inhibition of HIV1 protease by HPLC method,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,28500.0,4.54515513999149
CHEMBL520898,CC1(C)CCC[C@](C)([C@H]2CC[C@]3(C)[C@@H]2[C@H](O)C[C@@H]2[C@@](C)(CC(=O)O)[C@H](C(C)(C)C(=O)O)CC[C@]23C)O1,IC50,11900.0,4.92,CHEMBL964238,Inhibition of HIV1 protease by HPLC method,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,11900.0,4.924453038607469
CHEMBL527420,CC1(C)CCC[C@](C)([C@H]2CC[C@]3(C)[C@@H]2C(=O)C[C@@H]2[C@@](C)(CC(=O)O)[C@H](C(C)(C)C(=O)O)CC[C@]23C)O1,IC50,22800.0,4.64,CHEMBL964238,Inhibition of HIV1 protease by HPLC method,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,22800.0,4.642065152999546
CHEMBL488536,CC1(C)CCC[C@](C)([C@H]2CC[C@]3(C)[C@@H]2[C@H](O)C[C@@H]2[C@@]4(C)C[C@](O)(C(=O)O)C(C)(C)[C@@H]4CC[C@]23C)O1,IC50,10000.0,5.0,CHEMBL964238,Inhibition of HIV1 protease by HPLC method,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,10000.0,5.0
CHEMBL488733,CC1(C)CCC[C@](C)([C@H]2CC[C@]3(C)[C@@H]2[C@H](O)C[C@@H]2[C@@]4(C)C[C@](O)(C(=O)O)C(C)(C)[C@@H]4C(=O)C[C@]23C)O1,IC50,29900.0,4.52,CHEMBL964238,Inhibition of HIV1 protease by HPLC method,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,29900.0,4.52432881167557
CHEMBL449466,CC1(C)CCC[C@](C)([C@H]2CC[C@]3(C)[C@@H]2[C@H](O)C[C@@H]2[C@@]4(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]4CC[C@]23C)O1,IC50,2700.0,5.57,CHEMBL964238,Inhibition of HIV1 protease by HPLC method,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,2700.0,5.568636235841012
CHEMBL510592,CC1(C)CCC[C@](C)([C@H]2CC[C@]3(C)[C@@H]2C(=O)C[C@@H]2[C@@]4(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]4CC[C@]23C)O1,IC50,6500.0,5.19,CHEMBL964238,Inhibition of HIV1 protease by HPLC method,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,6500.0,5.187086643357144
CHEMBL448055,CC1(C)CCC[C@](C)([C@H]2CC[C@]3(C)[C@@H]2[C@H](O)C[C@@H]2[C@@]4(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]4[C@@H](O)C[C@]23C)O1,IC50,3900.0,5.41,CHEMBL964238,Inhibition of HIV1 protease by HPLC method,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,3900.0,5.4089353929735005
CHEMBL507579,CC1(C)CCC[C@](C)([C@H]2CC[C@]3(C)[C@@H]2[C@H](O)C[C@@H]2[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4[C@@H](OC(=O)CC(C)(C)C(=O)O)C[C@]23C)O1,IC50,2700.0,5.57,CHEMBL964238,Inhibition of HIV1 protease by HPLC method,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,2700.0,5.568636235841012
CHEMBL507189,CC1(C)CCC[C@](C)([C@H]2CC[C@]3(C)[C@@H]2[C@H](O)C[C@@H]2[C@@]4(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]4[C@@H](OC(=O)CC(C)(C)C(=O)O)C[C@]23C)O1,IC50,5400.0,5.27,CHEMBL964238,Inhibition of HIV1 protease by HPLC method,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,5400.0,5.267606240177031
CHEMBL449203,CC1(C)CCC[C@](C)([C@H]2CC[C@]3(C)[C@@H]2C(=O)C[C@@H]2[C@@]4(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]4[C@@H](OC(=O)CC(C)(C)C(=O)O)C[C@]23C)O1,IC50,10900.0,4.96,CHEMBL964238,Inhibition of HIV1 protease by HPLC method,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,10900.0,4.962573502059376
CHEMBL296588,CC(C)CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)C(C)C)C(C)C,IC50,1300.0,5.89,CHEMBL964238,Inhibition of HIV1 protease by HPLC method,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,1300.0,5.886056647693163
CHEMBL451129,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)c1ccc2ccccc2n1)[C@H]1CCOC1,IC50,0.05,10.3,CHEMBL981022,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,0.05,10.301029995663981
CHEMBL18389,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1,IC50,160.0,6.8,CHEMBL981022,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,160.0,6.795880017344075
CHEMBL319408,O=C(N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)O[C@H]1CCOC1,IC50,0.03,,CHEMBL981022,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,0.03,10.522878745280337
CHEMBL101560,O=C(N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)OC1CCCC1,IC50,0.3,9.52,CHEMBL981022,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,0.3,9.522878745280337
CHEMBL273317,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCS(=O)(=O)C1,IC50,76.0,7.12,CHEMBL981022,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,76.0,7.119186407719209
CHEMBL113090,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CC[C@H]2OCC[C@@H]12,IC50,17.0,7.77,CHEMBL981022,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,17.0,7.769551078621726
CHEMBL469086,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2CO[C@H]3OCC[C@H]32)cc1,IC50,1.4,8.85,CHEMBL981022,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,1.4,8.853871964321762
CHEMBL492254,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@@H]2CCOCOC2)cc1,IC50,5.0,8.3,CHEMBL981022,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,5.0,8.301029995663981
CHEMBL509137,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2CC[C@H]3OCO[C@@H]23)cc1,IC50,3.8,8.42,CHEMBL981022,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,3.8,8.42021640338319
CHEMBL510370,COc1ccc(S(=O)(=O)N(C[C@@H]2CCC(=O)N2)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2CC[C@H]3OCC[C@@H]23)cc1,IC50,28.0,7.55,CHEMBL981022,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,28.0,7.552841968657781
CHEMBL515324,C=C1[C@@H](C)[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]23[C@H](OC(C)=O)/C=C/[C@@H](C)C[C@@H](C)C/C=C/[C@H]3[C@@H]1O,IC50,3000.0,5.52,CHEMBL1021001,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,3000.0,5.522878745280337
CHEMBL475691,C=C1[C@@H](C)[C@H]2[C@H](Cc3cccc(O)c3)NC(=O)[C@]23[C@H](OC(C)=O)/C=C/[C@@H](C)C[C@@](O)(CO)C/C=C/[C@H]3[C@@H]1O,IC50,50000.0,,CHEMBL1021001,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,50000.0,4.301029995663981
CHEMBL474684,C=C1[C@@H](C)[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]23[C@H](OC(C)=O)/C=C/[C@@H](C)C[C@@](O)(CO)C/C=C/[C@H]3[C@@H]1O,IC50,45000.0,4.35,CHEMBL1021001,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,45000.0,4.346787486224656
